CountryCode,Mode,ApproachName,Definition,SourceTypeContext,Author,TheoreticalStance,StudentFriendlyStrategy,ApplicationToHumanities,KeyQuotes,ConnectionsCritiques,GovernmentMandated,Orientation,Level,
USA,Current,Learning Objective/s,"a precisely stated, measurable outcome describing what learners will know/do at lesson or unit end; framed in observable verbs and aligned to assessment. Normalised in higher/professional education by late 1990s (e.g., AAMC MSOP Report I uses the exact phrase “learning objectives” in title and body).","Professional/tertiary course design and competency frameworks (e-learning, medical education, business/engineering): weekly syllabi and lectures begin with “Learning Objectives” as a formal heading; example: online course format tables list and repeat Learning Objectives each week.","1960s Engineering Courses, 1970s onward medical courses  Policy/system exemplar: AAMC MSOP Writing Group (1998/1999) — Learning Objectives for Medical Student Education. | Early K-12 e-learning normalisation: Ellram (1999/2006 reprint) with weekly “Learning Objectives” schema.","Outcomes-based / behaviourist-positivist lineage operationalised for accountability and competency: objective = the target; assessment = the evidence. Often conflated with “goal/aim/outcome,” and frequently (mis)treated as synonymous with learning intention.","Post the objective and tie it directly to success criteria (evidence of meeting the objective). In e-learning templates, list each objective, then activities/assessments keyed to it.","History: Objective: “Explain three causes of the 1917 Revolution.” Success criteria: list causes, link to effects, prioritise significance. (Objective–evidence lockstep.)",AAMC (1999): “…set forth learning objectives… guide each medical school…” (title and abstract). | Ellram’s online format explicitly begins with “Learning Objectives… repeated for each learning objective.”,"Advantages:  High clarity and assessment alignment; easily integrates with success criteria and LMS planning. Disadvantages:  Risks reductionism; widely conflated with intentions, collapsing meaning into targets.",,StudentFacing,"Primary, Secondary, Tertiary",
CAN,Current,Learning Objective/s,"a precisely stated, measurable outcome describing what learners will know/do at lesson or unit end; framed in observable verbs and aligned to assessment. Normalised in higher/professional education by late 1990s (e.g., AAMC MSOP Report I uses the exact phrase “learning objectives” in title and body).","Professional/tertiary course design and competency frameworks (e-learning, medical education, business/engineering): weekly syllabi and lectures begin with “Learning Objectives” as a formal heading; example: online course format tables list and repeat Learning Objectives each week.","1960s Engineering Courses, 1970s onward medical courses  Policy/system exemplar: AAMC MSOP Writing Group (1998/1999) — Learning Objectives for Medical Student Education. | Early K-12 e-learning normalisation: Ellram (1999/2006 reprint) with weekly “Learning Objectives” schema.","Outcomes-based / behaviourist-positivist lineage operationalised for accountability and competency: objective = the target; assessment = the evidence. Often conflated with “goal/aim/outcome,” and frequently (mis)treated as synonymous with learning intention.","Post the objective and tie it directly to success criteria (evidence of meeting the objective). In e-learning templates, list each objective, then activities/assessments keyed to it.","History: Objective: “Explain three causes of the 1917 Revolution.” Success criteria: list causes, link to effects, prioritise significance. (Objective–evidence lockstep.)",AAMC (1999): “…set forth learning objectives… guide each medical school…” (title and abstract). | Ellram’s online format explicitly begins with “Learning Objectives… repeated for each learning objective.”,"Advantages:  High clarity and assessment alignment; easily integrates with success criteria and LMS planning. Disadvantages:  Risks reductionism; widely conflated with intentions, collapsing meaning into targets.",,StudentFacing,"Primary, Secondary, Tertiary",
NZ,Current,Learning Objective/s,"a precisely stated, measurable outcome describing what learners will know/do at lesson or unit end; framed in observable verbs and aligned to assessment. Normalised in higher/professional education by late 1990s (e.g., AAMC MSOP Report I uses the exact phrase “learning objectives” in title and body).","Professional/tertiary course design and competency frameworks (e-learning, medical education, business/engineering): weekly syllabi and lectures begin with “Learning Objectives” as a formal heading; example: online course format tables list and repeat Learning Objectives each week.","1960s Engineering Courses, 1970s onward medical courses  Policy/system exemplar: AAMC MSOP Writing Group (1998/1999) — Learning Objectives for Medical Student Education. | Early K-12 e-learning normalisation: Ellram (1999/2006 reprint) with weekly “Learning Objectives” schema.","Outcomes-based / behaviourist-positivist lineage operationalised for accountability and competency: objective = the target; assessment = the evidence. Often conflated with “goal/aim/outcome,” and frequently (mis)treated as synonymous with learning intention.","Post the objective and tie it directly to success criteria (evidence of meeting the objective). In e-learning templates, list each objective, then activities/assessments keyed to it.","History: Objective: “Explain three causes of the 1917 Revolution.” Success criteria: list causes, link to effects, prioritise significance. (Objective–evidence lockstep.)",AAMC (1999): “…set forth learning objectives… guide each medical school…” (title and abstract). | Ellram’s online format explicitly begins with “Learning Objectives… repeated for each learning objective.”,"Advantages:  High clarity and assessment alignment; easily integrates with success criteria and LMS planning. Disadvantages:  Risks reductionism; widely conflated with intentions, collapsing meaning into targets.",,StudentFacing,"Primary, Secondary, Tertiary",
EUR,Current,Learning Intention,"the purpose/meaning of learning made explicit to students (the “why/what we’re aiming to understand”), typically paired with success criteria and made visible in class routines; student-facing by design. Clarke directs teachers to “Establish the learning intention… [and] develop the success criteria… share… and review” with pupils.","K–12 formative assessment practice (UK primary PD, late-1990s) with explicit classroom routines: “THE JOURNEY OF THE LEARNING INTENTION” from curriculum → Unit Plan → Lesson plan → shared with children → used for marking and plenary.","Shirley Clarke (1998) — Targeting Assessment in the Primary Classroom: “Sharing learning intentions with children” section and exemplars; pupil sheets labelled “Learning Objectives” alongside teacher use of learning intentions, showing the now-familiar oscillation.",Formative-constructivist stance: intention = meaning-making trajectory; paired with success criteria for self/peer assessment and plenary reflection. Clarke operationalises intention → criteria → review as a child-visible cycle.,"State the learning intention in child-speak (“We are learning to…”), co-construct success criteria, and revisit them in the plenary to judge progress and next steps.",History: Learning intention: “We’re learning to weigh cause and consequence in revolutions.” Success criteria co-written; plenary asks students to justify their weighting (metacognitive focus).,Clarke (1998): “Establish the learning intention of the task… [children] involved in developing the success criteria… [then] ask… how far they met the success criteria.”,"Advantages:  Centres purpose, agency, and formative dialogue; pairs naturally with success criteria. Disadvantages:  Post-1998 PD often conflates intention with objective (Clarke’s own exemplars show intention teacher-talk vs objective pupil sheet), fuelling decades of muddle.",,"StudentFacing, TeacherFacing","Primary, Secondary",
AUS,Current,Learning Intention,"the purpose/meaning of learning made explicit to students (the “why/what we’re aiming to understand”), typically paired with success criteria and made visible in class routines; student-facing by design. Clarke directs teachers to “Establish the learning intention… [and] develop the success criteria… share… and review” with pupils.","K–12 formative assessment practice (UK primary PD, late-1990s) with explicit classroom routines: “THE JOURNEY OF THE LEARNING INTENTION” from curriculum → Unit Plan → Lesson plan → shared with children → used for marking and plenary.","Shirley Clarke (1998) — Targeting Assessment in the Primary Classroom: “Sharing learning intentions with children” section and exemplars; pupil sheets labelled “Learning Objectives” alongside teacher use of learning intentions, showing the now-familiar oscillation.",Formative-constructivist stance: intention = meaning-making trajectory; paired with success criteria for self/peer assessment and plenary reflection. Clarke operationalises intention → criteria → review as a child-visible cycle.,"State the learning intention in child-speak (“We are learning to…”), co-construct success criteria, and revisit them in the plenary to judge progress and next steps.",History: Learning intention: “We’re learning to weigh cause and consequence in revolutions.” Success criteria co-written; plenary asks students to justify their weighting (metacognitive focus).,Clarke (1998): “Establish the learning intention of the task… [children] involved in developing the success criteria… [then] ask… how far they met the success criteria.”,"Advantages:  Centres purpose, agency, and formative dialogue; pairs naturally with success criteria. Disadvantages:  Post-1998 PD often conflates intention with objective (Clarke’s own exemplars show intention teacher-talk vs objective pupil sheet), fuelling decades of muddle.",,"StudentFacing, TeacherFacing","Primary, Secondary",
USA,Current,Learning Intention,"the purpose/meaning of learning made explicit to students (the “why/what we’re aiming to understand”), typically paired with success criteria and made visible in class routines; student-facing by design. Clarke directs teachers to “Establish the learning intention… [and] develop the success criteria… share… and review” with pupils.","K–12 formative assessment practice (UK primary PD, late-1990s) with explicit classroom routines: “THE JOURNEY OF THE LEARNING INTENTION” from curriculum → Unit Plan → Lesson plan → shared with children → used for marking and plenary.","Shirley Clarke (1998) — Targeting Assessment in the Primary Classroom: “Sharing learning intentions with children” section and exemplars; pupil sheets labelled “Learning Objectives” alongside teacher use of learning intentions, showing the now-familiar oscillation.",Formative-constructivist stance: intention = meaning-making trajectory; paired with success criteria for self/peer assessment and plenary reflection. Clarke operationalises intention → criteria → review as a child-visible cycle.,"State the learning intention in child-speak (“We are learning to…”), co-construct success criteria, and revisit them in the plenary to judge progress and next steps.",History: Learning intention: “We’re learning to weigh cause and consequence in revolutions.” Success criteria co-written; plenary asks students to justify their weighting (metacognitive focus).,Clarke (1998): “Establish the learning intention of the task… [children] involved in developing the success criteria… [then] ask… how far they met the success criteria.”,"Advantages:  Centres purpose, agency, and formative dialogue; pairs naturally with success criteria. Disadvantages:  Post-1998 PD often conflates intention with objective (Clarke’s own exemplars show intention teacher-talk vs objective pupil sheet), fuelling decades of muddle.",,"StudentFacing, TeacherFacing","Primary, Secondary",
CAN,Current,Learning Intention,"the purpose/meaning of learning made explicit to students (the “why/what we’re aiming to understand”), typically paired with success criteria and made visible in class routines; student-facing by design. Clarke directs teachers to “Establish the learning intention… [and] develop the success criteria… share… and review” with pupils.","K–12 formative assessment practice (UK primary PD, late-1990s) with explicit classroom routines: “THE JOURNEY OF THE LEARNING INTENTION” from curriculum → Unit Plan → Lesson plan → shared with children → used for marking and plenary.","Shirley Clarke (1998) — Targeting Assessment in the Primary Classroom: “Sharing learning intentions with children” section and exemplars; pupil sheets labelled “Learning Objectives” alongside teacher use of learning intentions, showing the now-familiar oscillation.",Formative-constructivist stance: intention = meaning-making trajectory; paired with success criteria for self/peer assessment and plenary reflection. Clarke operationalises intention → criteria → review as a child-visible cycle.,"State the learning intention in child-speak (“We are learning to…”), co-construct success criteria, and revisit them in the plenary to judge progress and next steps.",History: Learning intention: “We’re learning to weigh cause and consequence in revolutions.” Success criteria co-written; plenary asks students to justify their weighting (metacognitive focus).,Clarke (1998): “Establish the learning intention of the task… [children] involved in developing the success criteria… [then] ask… how far they met the success criteria.”,"Advantages:  Centres purpose, agency, and formative dialogue; pairs naturally with success criteria. Disadvantages:  Post-1998 PD often conflates intention with objective (Clarke’s own exemplars show intention teacher-talk vs objective pupil sheet), fuelling decades of muddle.",,"StudentFacing, TeacherFacing","Primary, Secondary",
NZ,Current,Learning Intention,"the purpose/meaning of learning made explicit to students (the “why/what we’re aiming to understand”), typically paired with success criteria and made visible in class routines; student-facing by design. Clarke directs teachers to “Establish the learning intention… [and] develop the success criteria… share… and review” with pupils.","K–12 formative assessment practice (UK primary PD, late-1990s) with explicit classroom routines: “THE JOURNEY OF THE LEARNING INTENTION” from curriculum → Unit Plan → Lesson plan → shared with children → used for marking and plenary.","Shirley Clarke (1998) — Targeting Assessment in the Primary Classroom: “Sharing learning intentions with children” section and exemplars; pupil sheets labelled “Learning Objectives” alongside teacher use of learning intentions, showing the now-familiar oscillation.",Formative-constructivist stance: intention = meaning-making trajectory; paired with success criteria for self/peer assessment and plenary reflection. Clarke operationalises intention → criteria → review as a child-visible cycle.,"State the learning intention in child-speak (“We are learning to…”), co-construct success criteria, and revisit them in the plenary to judge progress and next steps.",History: Learning intention: “We’re learning to weigh cause and consequence in revolutions.” Success criteria co-written; plenary asks students to justify their weighting (metacognitive focus).,Clarke (1998): “Establish the learning intention of the task… [children] involved in developing the success criteria… [then] ask… how far they met the success criteria.”,"Advantages:  Centres purpose, agency, and formative dialogue; pairs naturally with success criteria. Disadvantages:  Post-1998 PD often conflates intention with objective (Clarke’s own exemplars show intention teacher-talk vs objective pupil sheet), fuelling decades of muddle.",,"StudentFacing, TeacherFacing","Primary, Secondary",
EUR,Current,WALT/WILF/WAGOLL,Acronyms:  WALT: We Are Learning To… WILF: What I’m Looking For… WAGOLL: What A Good One Looks Like,Practitioner-developed classroom language (late 1990s UK National Strategies),Anonymous teacher-originated; popularized by UK DfES (Dept for Education and Skills) materials,"Pragmatic formative assessment. Simplified LI/SC for primary students. Rooted in Black & Wiliam (1998).
",Displayed on whiteboards. Co-constructed with kids. Often paired with “TIB” (This Is Because…).,"Explicit — e.g., WALT: “explain why ancient Egyptians mummified people”; WILF: “use 3 reasons Advantages:  evidence.”","> “WALT and WILF put the learning map in the child’s hands.” — UK Primary Headteacher (2003, TES)",Advantages:  Highly accessible.Disadvantages:  Seen as reductive or gimmicky. Precursor to Clarke’s formalisation. Prone to Teenage students making inappropriate comments because of acronym similarity to vulgar term.,,,,
AUS,Current,WALT/WILF/WAGOLL,Acronyms:  WALT: We Are Learning To… WILF: What I’m Looking For… WAGOLL: What A Good One Looks Like,Practitioner-developed classroom language (late 1990s UK National Strategies),Anonymous teacher-originated; popularized by UK DfES (Dept for Education and Skills) materials,"Pragmatic formative assessment. Simplified LI/SC for primary students. Rooted in Black & Wiliam (1998).
",Displayed on whiteboards. Co-constructed with kids. Often paired with “TIB” (This Is Because…).,"Explicit — e.g., WALT: “explain why ancient Egyptians mummified people”; WILF: “use 3 reasons Advantages:  evidence.”","> “WALT and WILF put the learning map in the child’s hands.” — UK Primary Headteacher (2003, TES)",Advantages:  Highly accessible.Disadvantages:  Seen as reductive or gimmicky. Precursor to Clarke’s formalisation. Prone to Teenage students making inappropriate comments because of acronym similarity to vulgar term.,,,,
USA,Current,WALT/WILF/WAGOLL,Acronyms:  WALT: We Are Learning To… WILF: What I’m Looking For… WAGOLL: What A Good One Looks Like,Practitioner-developed classroom language (late 1990s UK National Strategies),Anonymous teacher-originated; popularized by UK DfES (Dept for Education and Skills) materials,"Pragmatic formative assessment. Simplified LI/SC for primary students. Rooted in Black & Wiliam (1998).
",Displayed on whiteboards. Co-constructed with kids. Often paired with “TIB” (This Is Because…).,"Explicit — e.g., WALT: “explain why ancient Egyptians mummified people”; WILF: “use 3 reasons Advantages:  evidence.”","> “WALT and WILF put the learning map in the child’s hands.” — UK Primary Headteacher (2003, TES)",Advantages:  Highly accessible.Disadvantages:  Seen as reductive or gimmicky. Precursor to Clarke’s formalisation. Prone to Teenage students making inappropriate comments because of acronym similarity to vulgar term.,,,,
